食堂,楼层,窗口,餐品,场景状态,形态偏好,口味感受,忌口,预算,备注,
一食堂,一楼,米线,素什锦米线,不限制,米线,咸鲜,,8,,
一食堂,一楼,米线,火腿米线,不限制,米线,咸鲜,,10,,
一食堂,一楼,米线,羊肉米线,不限制,米线,咸鲜,,15,,
一食堂,一楼,米线,牛肉米线,不限制,米线,咸鲜,,15,,
一食堂,一楼,牛肉拉面,牛肉拉面,不限制,面食,咸鲜,,6,,
一食堂,一楼,基本伙,香菇鸡块加一素,快点吃,套饭,咸香,,10,,
一食堂,一楼,基本伙,土豆炖牛肉加一素,快点吃,套饭,咸香,,12,,
一食堂,一楼,基本伙,玉米炖排骨加一素,快点吃,套饭,鲜香,,12,,
一食堂,一楼,基本伙,白菜汆丸子加一素,快点吃,套饭,咸鲜,,8,,
一食堂,一楼,基本伙,水煮鱼加一素,快点吃,套饭,麻辣,,12,,
一食堂,一楼,基本伙（单个菜品）,手撕包菜,快点吃,素菜,清淡,,2,,
一食堂,一楼,基本伙（单个菜品）,回锅肉,快点吃,荤菜,咸香,,4,,
一食堂,一楼,基本伙（单个菜品）,家常豆腐,快点吃,素菜,咸香,,3.5,,
一食堂,一楼,基本伙（单个菜品）,鱼香鸡丝,快点吃,荤菜,甜辣,,3,,
一食堂,一楼,基本伙（单个菜品）,土豆红烧肉,快点吃,荤菜,咸香,,5,,
一食堂,一楼,基本伙（单个菜品）,尖椒土豆片,快点吃,素菜,香辣,,2,,
一食堂,一楼,基本伙（单个菜品）,水煮金针鸡片,快点吃,荤菜,麻辣,,5,,
一食堂,一楼,基本伙（单个菜品）,酱香鸡腿,快点吃,荤菜,酱香,,5,,
一食堂,一楼,基本伙（单个菜品）,腐竹肉片,快点吃,荤菜,咸香,,4,,
一食堂,一楼,基本伙（单个菜品）,肉沫酸豇豆,快点吃,荤菜,酸辣,,3,,
一食堂,一楼,基本伙（单个菜品）,蒜蓉小白菜,快点吃,素菜,蒜香,,2,,
一食堂,一楼,基本伙（单个菜品）,肉片茄子,快点吃,荤菜,咸香,,4,,
一食堂,一楼,基本伙（单个菜品）,肉丝拉皮,快点吃,荤菜,咸香,,4,,
一食堂,一楼,基本伙（单个菜品）,川味酸菜鱼丸,快点吃,荤菜,酸辣,,5,,
一食堂,一楼,基本伙（单个菜品）,麻花风味鸡,快点吃,荤菜,咸香,,5,,
一食堂,一楼,基本伙（单个菜品）,木耳炒油菜,快点吃,素菜,咸香,,4,,
一食堂,一楼,基本伙（单个菜品）,葱油鸡,快点吃,荤菜,葱香,,6,,
一食堂,一楼,基本伙（单个菜品）,蒜苔炒肉,快点吃,荤菜,咸香,,7.5,,
一食堂,一楼,基本伙（单个菜品）,干锅鱼豆腐,快点吃,荤菜,香辣,,7.5,,
一食堂,一楼,基本伙（单个菜品）,菠萝咕咾肉,快点吃,荤菜,酸甜,,7.5,,
一食堂,一楼,基本伙（单个菜品）,孜然鸡丁,快点吃,荤菜,孜然香,,7.5,,
一食堂,一楼,基本伙（单个菜品）,酱大骨,快点吃,荤菜,酱香,,10,,
一食堂,一楼,基本伙（单个菜品）,卤鸭块,快点吃,荤菜,卤香,,6,,
一食堂,一楼,基本伙（单个菜品）,蒜蓉娃娃菜粉丝,快点吃,素菜,蒜香,,4,,
一食堂,一楼,基本伙（单个菜品）,虾仁冬瓜,快点吃,荤菜,鲜香,,6,,
一食堂,一楼,基本伙（单个菜品）,炸藕盒（4 个）,快点吃,荤菜,香脆,,5,,
一食堂,一楼,基本伙（单个菜品）,桂花蜜汁红薯,快点吃,素菜,甜香,,3.5,,
一食堂,一楼,基本伙（单个菜品）,高汤小酥肉,快点吃,荤菜,咸香,,6,,
一食堂,一楼,基本伙（单个菜品）,西葫芦肉片,快点吃,荤菜,咸香,,4,,
一食堂,一楼,基本伙（单个菜品）,虾皮冬瓜,快点吃,素菜,咸鲜,,2,,
一食堂,一楼,基本伙（单个菜品）,清炒小白菜,快点吃,素菜,清鲜,,2,,
一食堂,一楼,基本伙（单个菜品）,剁椒蒸鳕鱼,快点吃,荤菜,香辣,,7,,
一食堂,一楼,基本伙（单个菜品）,肉丝干香芹菜,快点吃,荤菜,咸香,,4,,
一食堂,一楼,基本伙（单个菜品）,水煮鸡脯肉,快点吃,荤菜,香辣,,5,,
一食堂,一楼,基本伙（单个菜品）,洋葱炒鸡蛋,快点吃,素菜,咸香,,2.5,,
一食堂,一楼,基本伙（单个菜品）,湘西小炒鸭脯,快点吃,荤菜,香辣,,4,,
一食堂,一楼,基本伙（单个菜品）,麻婆豆腐,快点吃,素菜,麻辣,,3,,
一食堂,一楼,基本伙（单个菜品）,猪肉炖粉条,快点吃,荤菜,咸香,,5,,
一食堂,一楼,基本伙（单个菜品）,胡萝卜炒鸡蛋,快点吃,素菜,咸香,,2.5,,
一食堂,一楼,基本伙（单个菜品）,醋溜大白菜,快点吃,素菜,酸辣,,1.5,,
一食堂,一楼,基本伙（单个菜品）,炸鳕鱼排,快点吃,荤菜,香脆,,2.5,,
一食堂,一楼,基本伙（单个菜品）,冬瓜炖龙骨,快点吃,荤菜,咸鲜,,6,,
一食堂,一楼,基本伙（单个菜品）,肉酱烧茄条,快点吃,荤菜,酱香,,3.5,,
一食堂,一楼,基本伙（单个菜品）,萝卜干肉片,快点吃,荤菜,咸香,,4,,
一食堂,一楼,基本伙（单个菜品）,肉末黄豆雪里红,快点吃,荤菜,咸香,,3.5,,
一食堂,一楼,基本伙（单个菜品）,蒜蓉快菜,快点吃,素菜,蒜香,,2,,
一食堂,一楼,基本伙（单个菜品）,香酥鸡柳,快点吃,小吃,香脆,,5,,
一食堂,一楼,基本伙（单个菜品）,番茄鸡蛋,快点吃,素菜,酸甜,,2.5,,
一食堂,一楼,基本伙（单个菜品）,杏鲍菇肉片,快点吃,荤菜,咸香,,4,,
一食堂,一楼,基本伙（单个菜品）,火腿南瓜片,快点吃,荤菜,咸香,,4,,
一食堂,一楼,石锅拌饭,任意双拼拌饭,快点吃,石锅拌饭,多样,,15,,
一食堂,一楼,石锅拌饭,牛肉石锅拌饭,快点吃,石锅拌饭,麻辣,,15,,
一食堂,一楼,石锅拌饭,五花肉辣白菜拌饭,快点吃,石锅拌饭,香辣,,13,,
一食堂,一楼,石锅拌饭,广味香肠拌饭,快点吃,石锅拌饭,咸香,,13,,
一食堂,一楼,石锅拌饭,奥尔良腿排拌饭,快点吃,石锅拌饭,奥尔良味,,13,,
一食堂,一楼,石锅拌饭,培根石锅拌饭,快点吃,石锅拌饭,咸香,,13,,
一食堂,一楼,石锅拌饭,鸡肉石锅拌饭,快点吃,石锅拌饭,咸香,,13,,
一食堂,一楼,石锅拌饭,鸡蛋石锅拌饭,快点吃,石锅拌饭,咸香,,10,,
一食堂,二楼,重庆小面,重庆小面（刀削面）,不限制,面食（可带汤可干拌）,麻辣,,9,,
一食堂,二楼,重庆小面,酸菜肉丝面（刀削面）,不限制,面食（可带汤可干拌）,酸辣,,12,,
一食堂,二楼,重庆小面,肉末酸豆角小面（刀削面）,不限制,面食（可带汤可干拌）,酸辣,,12,,
一食堂,二楼,重庆小面,双椒鸡小面（刀削面）,不限制,面食（可带汤可干拌）,麻辣,,12,,
一食堂,二楼,重庆小面,丸子小面（刀削面）,不限制,面食（可带汤可干拌）,咸香,,12,,
一食堂,二楼,重庆小面,宜宾燃面,不限制,面食（可带汤可干拌）,麻辣,,12,,
一食堂,二楼,重庆小面,豌杂面,不限制,面食（可带汤可干拌）,咸香,,12,,
一食堂,二楼,重庆小面,担担面,不限制,面食（可带汤可干拌）,麻辣,,12,,
一食堂,二楼,重庆小面,卤肉小面（刀削面）,不限制,面食（可带汤可干拌）,卤香,,13,,
一食堂,二楼,重庆小面,泡椒鸡杂小面（刀削面）,不限制,面食（可带汤可干拌）,酸辣,,13,,
一食堂,二楼,重庆小面,小酥肉小面（刀削面）,不限制,面食（可带汤可干拌）,咸香,,14,,
一食堂,二楼,重庆小面,肥肠小面（刀削面）,不限制,面食（可带汤可干拌）,麻辣,,16,,
一食堂,二楼,重庆小面,牛肉小面（刀削面）,不限制,面食（可带汤可干拌）,麻辣,,16,,
一食堂,二楼,重庆小面,酸辣粉,不限制,汤粉类,酸辣,,8,,
一食堂,二楼,重庆小面,素米线,不限制,汤粉类,多样,,8,,
一食堂,二楼,重庆小面,肉沫米线,不限制,汤粉类,多样,,10,,
一食堂,二楼,重庆小面,丸子米线,不限制,汤粉类,多样,,12,,
一食堂,二楼,重庆小面,肉丝米线,不限制,汤粉类,多样,,12,,
一食堂,二楼,重庆小面,三鲜米线,不限制,汤粉类,多样,,13,,
一食堂,二楼,重庆小面,酥肉米线,不限制,汤粉类,多样,,14,,
一食堂,二楼,重庆小面,牛肉米线,不限制,汤粉类,多样,,16,,
一食堂,二楼,重庆小面,肥肠米线,不限制,汤粉类,多样,,16,,
一食堂,二楼,重庆小面,抄手（小份）,不限制,面点,多样,,10,,
一食堂,二楼,重庆小面,抄手（大份）,不限制,面点,多样,,14,,
一食堂,二楼,黄焖鸡米饭,黄焖鸡米饭（小份）,不限制,煲类,咸香,,13,,
一食堂,二楼,黄焖鸡米饭,黄焖鸡米饭（大份）,不限制,煲类,咸香,,18,,
一食堂,二楼,黄焖鸡米饭,重庆鸡公煲,不限制,煲类,麻辣,,15,,
一食堂,二楼,黄焖鸡米饭,黄焖鱼豆腐,不限制,煲类,咸香,,12,,
一食堂,二楼,黄焖鸡米饭,黄焖肥羊,不限制,煲类,咸香,,15,,
一食堂,二楼,黄焖鸡米饭,黄焖小酥肉,不限制,煲类,咸香,,15,,
一食堂,二楼,黄焖鸡米饭,黄焖锅包肉,不限制,煲类,咸香,,15,,
一食堂,二楼,黄焖鸡米饭,黄焖排骨,不限制,煲类,咸香,,15,,
一食堂,二楼,黄焖鸡米饭,黄焖牛肉,不限制,煲类,咸香,,17,,
一食堂,二楼,黄焖鸡米饭,砂锅酥肉,不限制,煲类,咸香,,15,,
一食堂,二楼,黄焖鸡米饭,砂锅肥牛,不限制,煲类,咸香,,15,,
一食堂,二楼,黄焖鸡米饭,砂锅土豆粉,不限制,粉类,咸香,,15,,
一食堂,二楼,黄焖鸡米饭,砂锅肥羊,不限制,煲类,咸鲜,,15,,
一食堂,二楼,黄焖鸡米饭,砂锅锅包肉,不限制,煲类,咸鲜,,15,,
一食堂,二楼,黄焖鸡米饭,砂锅手擀面,不限制,面食,咸香,,13,,
一食堂,二楼,黄焖鸡米饭,砂锅刀削面,不限制,面食,咸香,,13,,
一食堂,二楼,黄焖鸡米饭,砂锅方便面,不限制,面食,咸香,,13,,
一食堂,二楼,黄焖鸡米饭,砂锅鱼豆腐,不限制,煲类,咸鲜,,13,,
一食堂,二楼,黄焖鸡米饭,云南过桥米线,不限制,汤粉类,咸鲜,,14,,
一食堂,二楼,黄焖鸡米饭,砂锅鸡块,不限制,煲类,咸香,,15,,
一食堂,二楼,黄焖鸡米饭,砂锅双拼,不限制,煲类,咸香,,15,,
一食堂,二楼,黄焖鸡米饭,素砂锅,不限制,粉类,咸鲜,,10,,
一食堂,二楼,牛肉汤,玉米排骨汤,快点吃,汤类,咸鲜,,6,,
一食堂,二楼,牛肉汤,山药排骨汤,快点吃,汤类,咸鲜,,6,,
一食堂,二楼,牛肉汤,萝卜排骨汤,快点吃,汤类,咸鲜,,6,,
一食堂,二楼,牛肉汤,莲藕排骨汤,快点吃,汤类,咸鲜,,6,,
一食堂,二楼,牛肉汤,银耳百合汤,快点吃,汤类,甜润,,6,,
一食堂,二楼,牛肉汤,党参红枣乌鸡汤,快点吃,汤类,咸鲜,,7,,
一食堂,二楼,牛肉汤,党参红枣排骨汤,快点吃,汤类,咸鲜,,7,,
一食堂,二楼,牛肉汤,鸡蛋炒饭,不限制,炒饭,咸香,,8,,
一食堂,二楼,牛肉汤,酱油炒饭,不限制,炒饭,咸香,,8,,
一食堂,二楼,牛肉汤,外婆菜炒饭,不限制,炒饭,咸香,,8,,
一食堂,二楼,牛肉汤,扬州炒饭,不限制,炒饭,咸香,,12,,
一食堂,二楼,牛肉汤,鸡肉炒饭,不限制,炒饭,咸香,,12,,
一食堂,二楼,牛肉汤,香肠炒饭,不限制,炒饭,咸香,,12,,
一食堂,二楼,牛肉汤,尖椒肉丝炒饭,不限制,炒饭,咸辣,,12,,
一食堂,二楼,牛肉汤,老干妈炒饭,不限制,炒饭,香辣,,12,,
一食堂,二楼,牛肉汤,肉沫酸豆角炒饭,不限制,炒饭,酸辣,,12,,
一食堂,二楼,牛肉汤,黑松露炒饭,不限制,炒饭,咸香,,14,,
一食堂,二楼,牛肉汤,孜然牛肉炒饭,不限制,炒饭,孜然香,,14,,
一食堂,二楼,千里香,鲜肉馄饨（16 个）,不限制,馄饨,清淡,,8,,
一食堂,二楼,千里香,鲜肉馄饨（20 个）,不限制,馄饨,清淡,,10,,
一食堂,二楼,千里香,香菇鸡肉馄饨（16 个）,不限制,馄饨,清淡,,8,,
一食堂,二楼,千里香,香菇鸡肉馄饨（20 个）,不限制,馄饨,清淡,,10,,
一食堂,二楼,千里香,荠菜馄饨（16 个）,不限制,馄饨,清淡,,8,,
一食堂,二楼,千里香,荠菜馄饨（20 个）,不限制,馄饨,清淡,,10,,
一食堂,二楼,千里香,三鲜馄饨（16 个）,不限制,馄饨,清淡,,8,,
一食堂,二楼,千里香,三鲜馄饨（20 个）,不限制,馄饨,清淡,,10,,
一食堂,二楼,千里香,全家福馄饨（16 个）,不限制,馄饨,清淡,,8,,
一食堂,二楼,千里香,全家福馄饨（20 个）,不限制,馄饨,清淡,,10,,
一食堂,二楼,千里香,鲜肉鲜虾馄饨（15 个）,不限制,馄饨,清淡,,12,,
一食堂,二楼,千里香,鲜肉鲜虾馄饨（20 个）,不限制,馄饨,清淡,,16,,
一食堂,二楼,千里香,红油干拌馄饨（14 个）,不限制,馄饨,香辣,,8,,
一食堂,二楼,千里香,红油干拌馄饨（18 个）,不限制,馄饨,香辣,,10,,
一食堂,二楼,千里香,干拌馄饨（14 个）,不限制,馄饨,咸香,,8,,
一食堂,二楼,千里香,干拌馄饨（18 个）,不限制,馄饨,咸香,,10,,
一食堂,二楼,千里香,蒜蓉剁椒干拌馄饨（16 个）,不限制,馄饨,香辣,,9,,
一食堂,二楼,千里香,蒜蓉剁椒干拌馄饨（20 个）,不限制,馄饨,香辣,,11,,
一食堂,二楼,千里香,猪肉玉米水饺（15 个）,不限制,水饺,咸香,,15,,
一食堂,二楼,千里香,猪肉玉米水饺（20 个）,不限制,水饺,咸香,,20,,
一食堂,二楼,千里香,猪肉白菜水饺（15 个）,不限制,水饺,咸香,,12,,
一食堂,二楼,千里香,猪肉白菜水饺（20 个）,不限制,水饺,咸香,,16,,
一食堂,二楼,千里香,猪肉大葱水饺（15 个）,不限制,水饺,咸香,,12,,
一食堂,二楼,千里香,猪肉大葱水饺（20 个）,不限制,水饺,咸香,,16,,
一食堂,二楼,千里香,猪肉芹菜水饺（15 个）,不限制,水饺,咸香,,12,,
一食堂,二楼,千里香,猪肉芹菜水饺（20 个）,不限制,水饺,咸香,,16,,
一食堂,二楼,千里香,猪肉茴香水饺（15 个）,不限制,水饺,咸香,,12,,
一食堂,二楼,千里香,猪肉茴香水饺（20 个）,不限制,水饺,咸香,,16,,
一食堂,二楼,千里香,猪肉酸菜水饺（15 个）,不限制,水饺,酸辣,,12,,
一食堂,二楼,千里香,猪肉酸菜水饺（20 个）,不限制,水饺,酸辣,,16,,
一食堂,二楼,千里香,猪肉韭菜水饺（15 个）,不限制,水饺,咸香,,12,,
一食堂,二楼,千里香,猪肉韭菜水饺（20 个）,不限制,水饺,咸香,,16,,
一食堂,二楼,千里香,韭菜鸡蛋水饺（15 个）,不限制,水饺,咸香,,12,,
一食堂,二楼,千里香,韭菜鸡蛋水饺（20 个）,不限制,水饺,咸香,,16,,
一食堂,二楼,千里香,混搭水饺（15 个）,不限制,水饺,咸香,,12,,
一食堂,二楼,千里香,混搭水饺（20 个）,不限制,水饺,咸香,,16,,
一食堂,二楼,千里香,玫瑰汤圆,不限制,汤圆,甜润,,7,,
一食堂,二楼,千里香,桂花汤圆,不限制,汤圆,甜润,,7,,
一食堂,二楼,千里香,醪糟汤圆,不限制,汤圆,甜润,,7,,
一食堂,二楼,千里香,红糖枸杞荷包蛋,不限制,荷包蛋,甜润,,7,,
一食堂,二楼,千里香,方便面,不限制,面食,多样,,8,,
一食堂,二楼,千里香,煎饺,不限制,饺子,香脆,,10,,
一食堂,二楼,千里香,锅贴,不限制,饺子,香脆,,10,,
一食堂,二楼,千里香,热狗肠,快点吃,小吃,咸香,,3.5,,
一食堂,二楼,千里香,煎蛋,快点吃,小吃,咸香,,2,,
一食堂,二楼,金汤肉片（小碗菜),红烧狮子头,快点吃,荤菜,酱香,,10,,
一食堂,二楼,金汤肉片（小碗菜),鹌鹑蛋烧肉,快点吃,荤菜,酱香,,10,,
一食堂,二楼,金汤肉片（小碗菜),葱油胖头鱼,快点吃,荤菜,葱香,,10,,
一食堂,二楼,金汤肉片（小碗菜),农家一碗香,快点吃,荤菜,咸香,,10,,
一食堂,二楼,金汤肉片（小碗菜),酸菜鱼,快点吃,荤菜,酸辣,,10,,
一食堂,二楼,金汤肉片（小碗菜),水煮肉片,快点吃,荤菜,麻辣,,10,,
一食堂,二楼,金汤肉片（小碗菜),甜皮鸭,快点吃,荤菜,甜香,,10,,
一食堂,二楼,金汤肉片（小碗菜),椒盐小酥肉,快点吃,荤菜,咸香,,10,,
一食堂,二楼,金汤肉片（小碗菜),糖醋里脊,快点吃,荤菜,酸甜,,9,,
一食堂,二楼,金汤肉片（小碗菜),大盘鸡,快点吃,荤菜,香辣,,8,,
一食堂,二楼,金汤肉片（小碗菜),红烧鸡翅根,快点吃,荤菜,酱香,,8,,
一食堂,二楼,金汤肉片（小碗菜),三杯鸡,快点吃,荤菜,酱香,,8,,
一食堂,二楼,金汤肉片（小碗菜),姜葱炒鸡,快点吃,荤菜,葱香,,8,,
一食堂,二楼,金汤肉片（小碗菜),姜爆鸭,快点吃,荤菜,咸香,,8,,
一食堂,二楼,金汤肉片（小碗菜),鱼香肉丝,快点吃,荤菜,甜辣,,8,,
一食堂,二楼,金汤肉片（小碗菜),宫保鸡丁,快点吃,荤菜,甜辣,,8,,
一食堂,二楼,金汤肉片（小碗菜),素毛血旺,快点吃,素菜,麻辣,,6,,
一食堂,二楼,金汤肉片（小碗菜),干锅花菜,快点吃,素菜,香辣,,6,,
一食堂,二楼,金汤肉片（小碗菜),西红柿炒蛋,快点吃,素菜,酸甜,,5,,
一食堂,二楼,金汤肉片（小碗菜),豆角茄子,快点吃,素菜,咸香,,5,,
一食堂,二楼,金汤肉片（小碗菜),清炒西兰花,快点吃,素菜,清鲜,,5,,
一食堂,二楼,金汤肉片（小碗菜),干锅土豆片,快点吃,素菜,香辣,,5,,
一食堂,二楼,金汤肉片（小碗菜),虎皮青椒,快点吃,素菜,香辣,,5,,
一食堂,二楼,金汤肉片（小碗菜),山药青笋片,快点吃,素菜,清鲜,,5,,
一食堂,二楼,金汤肉片（小碗菜),银耳羹,快点吃,汤类,甜润,,5,,
一食堂,二楼,金汤肉片（小碗菜),麻婆豆腐,快点吃,素菜,麻辣,,4,,
一食堂,二楼,金汤肉片（小碗菜),清炒快餐,快点吃,素菜,清鲜,,4,,
一食堂,二楼,金汤肉片（小碗菜),香菇小油菜,快点吃,素菜,清鲜,,4,,
一食堂,二楼,金汤肉片（小碗菜),清炒包菜丝,快点吃,素菜,清鲜,,4,,
一食堂,二楼,金汤肉片（小碗菜),酸辣土豆丝,快点吃,素菜,酸辣,,4,,
一食堂,二楼,金汤肉片（小碗菜),水蒸蛋,快点吃,蛋类,咸鲜,,4,,
一食堂,二楼,金汤肉片（小碗菜),木耳西葫芦,快点吃,素菜,清鲜,,4,,
一食堂,二楼,五谷渔粉,五谷原味渔粉,不限制,汤粉类,咸鲜,,12,,
一食堂,二楼,五谷渔粉,五谷酸辣渔粉,不限制,汤粉类,酸辣,,13,,
一食堂,二楼,五谷渔粉,五谷麻辣渔粉,不限制,汤粉类,麻辣,,13,,
一食堂,二楼,五谷渔粉,五谷番茄渔粉,不限制,汤粉类,酸甜,,13,,
一食堂,二楼,五谷渔粉,五谷肉沫米粉,不限制,汤粉类,咸香,,13,,
一食堂,二楼,五谷渔粉,五谷鲜玉米粉,不限制,汤粉类,甜鲜,,13,,
一食堂,二楼,五谷渔粉,五谷椒麻渔粉,不限制,汤粉类,麻辣,,14,,
一食堂,二楼,五谷渔粉,五谷金汤柠檬渔粉,不限制,汤粉类,酸甜,,14,,
一食堂,二楼,五谷渔粉,五谷原味肥牛粉,不限制,汤粉类,咸香,,16,,
一食堂,二楼,五谷渔粉,五谷酸辣肥牛粉,不限制,汤粉类,酸辣,,16,,
一食堂,二楼,五谷渔粉,五谷麻辣肥牛粉,不限制,汤粉类,麻辣,,16,,
一食堂,二楼,五谷渔粉,五谷番茄肥牛粉,不限制,汤粉类,酸甜,,16,,
一食堂,二楼,五谷渔粉,酸菜酥肉米饭,不限制,套饭,酸辣,,15,,
一食堂,二楼,五谷渔粉,番茄酥肉米饭,不限制,套饭,酸甜,,15,,
一食堂,二楼,五谷渔粉,麻辣酥肉米饭,不限制,套饭,麻辣,,15,,
一食堂,二楼,五谷渔粉,椒麻酥肉米饭,不限制,套饭,麻辣,,15,,
一食堂,二楼,五谷渔粉,金汤柠檬酥肉米饭,不限制,套饭,酸辣,,15,,
一食堂,二楼,五谷渔粉,酸菜鱼米饭,不限制,套饭,酸辣,,16,,
一食堂,二楼,五谷渔粉,番茄鱼米饭,不限制,套饭,酸甜,,16,,
一食堂,二楼,五谷渔粉,麻辣鱼米饭,不限制,套饭,麻辣,,16,,
一食堂,二楼,五谷渔粉,椒麻鱼米饭,不限制,套饭,麻辣,,16,,
一食堂,二楼,五谷渔粉,金汤柠檬鱼米饭,不限制,套饭,酸辣,,16,,
一食堂,二楼,淮南牛肉汤（麻辣粉）,招牌牛肉汤 + 葱油饼,不限制,汤和煎饼,咸香,,13,,
一食堂,二楼,淮南牛肉汤（麻辣粉）,香辣牛肉汤 + 葱油饼,不限制,汤和煎饼,香辣,,13,,
一食堂,二楼,淮南牛肉汤（麻辣粉）,招牌土鸡汤 + 葱油饼,不限制,汤和煎饼,咸鲜,,13,,
一食堂,二楼,淮南牛肉汤（麻辣粉）,原味牛杂汤 + 葱油饼,不限制,汤和煎饼,咸鲜,,13,,
一食堂,二楼,淮南牛肉汤（麻辣粉）,香辣牛杂汤 + 葱油饼,不限制,汤和煎饼,香辣,,13,,
一食堂,二楼,淮南牛肉汤（麻辣粉）,葱油饼夹鸡蛋,不限制,小吃,香脆,,5,,
一食堂,二楼,重庆鸡公煲,重庆鸡公煲,不限制,煲类,麻辣,,15.8,,
一食堂,二楼,重庆鸡公煲,浓汁鸡煲（不辣）,不限制,煲类,咸香,,15.8,,
一食堂,二楼,重庆鸡公煲,麻辣酥肉煲,不限制,煲类,麻辣,,15.8,,
一食堂,二楼,重庆鸡公煲,武汉黑鸭煲,不限制,煲类,微辣,,15,,
